drink_name,category,brand,price_usd,alcohol_level_abv,taste_node,availability_score,place_type
Bourbon 1,spirits/cocktails,Jameson,8.0,5.0,Sweet,Medium,global
Rye Whiskey 2,spirits/cocktails,Jack Daniel's,8.75,6.0,Spicy,High,global
Gin 3,spirits/cocktails,Johnnie Walker,9.5,7.0,Citrusy / Sour,High,global
Gin 4,spirits/cocktails,Glenfiddich,10.25,8.0,Herbal / Floral,Medium,global
Scotch 5,spirits/cocktails,Gordon's,11.0,9.0,Smoky,High,global
Cognac 6,wine,Tanqueray,11.75,10.0,Rich / Fruity,High,global
Vodka 7,spirits/cocktails,Bacardi,12.5,11.0,Dry / Crisp,Medium,global
Aged Bourbon 8,spirits/cocktails,Patron,13.25,12.0,Nutty / Woody,High,global
Bourbon 9,spirits/cocktails,Absolut,14.0,13.0,Sweet,High,global
Rye Whiskey 10,spirits/cocktails,Smirnoff,14.75,14.0,Spicy,Medium,global
Gin 11,spirits/cocktails,Moet & Chandon,15.5,15.0,Citrusy / Sour,High,global
Gin 12,spirits/cocktails,La Marca,16.25,16.0,Herbal / Floral,High,global
Scotch 13,spirits/cocktails,Barefoot,17.0,17.0,Smoky,Medium,global
Cognac 14,wine,Robert Mondavi,17.75,18.0,Rich / Fruity,High,global
Vodka 15,spirits/cocktails,Kim Crawford,18.5,19.0,Dry / Crisp,High,global
Aged Bourbon 16,spirits/cocktails,Crown Royal,19.25,20.0,Nutty / Woody,Medium,global
Bourbon 17,spirits/cocktails,Buffalo Trace,20.0,21.0,Sweet,High,global
Rye Whiskey 18,spirits/cocktails,Bulleit,20.75,22.0,Spicy,High,global
Gin 19,spirits/cocktails,Captain Morgan,21.5,23.0,Citrusy / Sour,Medium,global
Gin 20,spirits/cocktails,Don Julio,22.25,24.0,Herbal / Floral,High,global
Scotch 21,spirits/cocktails,Jameson,23.0,25.0,Smoky,High,global
Cognac 22,wine,Jack Daniel's,23.75,26.0,Rich / Fruity,Medium,global
Vodka 23,spirits/cocktails,Johnnie Walker,24.5,27.0,Dry / Crisp,High,global
Aged Bourbon 24,spirits/cocktails,Glenfiddich,25.25,28.0,Nutty / Woody,High,global
Bourbon 25,spirits/cocktails,Gordon's,26.0,29.0,Sweet,Medium,global
Rye Whiskey 26,spirits/cocktails,Tanqueray,26.75,30.0,Spicy,High,global
Gin 27,spirits/cocktails,Bacardi,27.5,31.0,Citrusy / Sour,High,global
Gin 28,spirits/cocktails,Patron,28.25,32.0,Herbal / Floral,Medium,global
Scotch 29,spirits/cocktails,Absolut,29.0,33.0,Smoky,High,global
Cognac 30,wine,Smirnoff,29.75,34.0,Rich / Fruity,High,global
Vodka 31,spirits/cocktails,Moet & Chandon,30.5,35.0,Dry / Crisp,Medium,global
Aged Bourbon 32,spirits/cocktails,La Marca,31.25,36.0,Nutty / Woody,High,global
Bourbon 33,spirits/cocktails,Barefoot,32.0,37.0,Sweet,High,global
Rye Whiskey 34,spirits/cocktails,Robert Mondavi,32.75,38.0,Spicy,Medium,global
Gin 35,spirits/cocktails,Kim Crawford,33.5,39.0,Citrusy / Sour,High,global
Gin 36,spirits/cocktails,Crown Royal,34.25,5.0,Herbal / Floral,High,global
Scotch 37,spirits/cocktails,Buffalo Trace,35.0,6.0,Smoky,Medium,global
Cognac 38,wine,Bulleit,35.75,7.0,Rich / Fruity,High,global
Vodka 39,spirits/cocktails,Captain Morgan,36.5,8.0,Dry / Crisp,High,global
Aged Bourbon 40,spirits/cocktails,Don Julio,37.25,9.0,Nutty / Woody,Medium,global
Bourbon 41,spirits/cocktails,Jameson,38.0,10.0,Sweet,High,global
Rye Whiskey 42,spirits/cocktails,Jack Daniel's,38.75,11.0,Spicy,High,global
Gin 43,spirits/cocktails,Johnnie Walker,39.5,12.0,Citrusy / Sour,Medium,global
Gin 44,spirits/cocktails,Glenfiddich,40.25,13.0,Herbal / Floral,High,global
Scotch 45,spirits/cocktails,Gordon's,41.0,14.0,Smoky,High,global
Cognac 46,wine,Tanqueray,41.75,15.0,Rich / Fruity,Medium,global
Vodka 47,spirits/cocktails,Bacardi,42.5,16.0,Dry / Crisp,High,global
Aged Bourbon 48,spirits/cocktails,Patron,43.25,17.0,Nutty / Woody,High,global
Bourbon 49,spirits/cocktails,Absolut,44.0,18.0,Sweet,Medium,global
Rye Whiskey 50,spirits/cocktails,Smirnoff,44.75,19.0,Spicy,High,global
Gin 51,spirits/cocktails,Moet & Chandon,45.5,20.0,Citrusy / Sour,High,global
Gin 52,spirits/cocktails,La Marca,46.25,21.0,Herbal / Floral,Medium,global
Scotch 53,spirits/cocktails,Barefoot,47.0,22.0,Smoky,High,global
Cognac 54,wine,Robert Mondavi,47.75,23.0,Rich / Fruity,High,global
Vodka 55,spirits/cocktails,Kim Crawford,48.5,24.0,Dry / Crisp,Medium,global
Aged Bourbon 56,spirits/cocktails,Crown Royal,49.25,25.0,Nutty / Woody,High,global
Bourbon 57,spirits/cocktails,Buffalo Trace,50.0,26.0,Sweet,High,global
Rye Whiskey 58,spirits/cocktails,Bulleit,50.75,27.0,Spicy,Medium,global
Gin 59,spirits/cocktails,Captain Morgan,51.5,28.0,Citrusy / Sour,High,global
Gin 60,spirits/cocktails,Don Julio,52.25,29.0,Herbal / Floral,High,global
Scotch 61,spirits/cocktails,Jameson,53.0,30.0,Smoky,Medium,global
Cognac 62,wine,Jack Daniel's,53.75,31.0,Rich / Fruity,High,global
Vodka 63,spirits/cocktails,Johnnie Walker,54.5,32.0,Dry / Crisp,High,global
Aged Bourbon 64,spirits/cocktails,Glenfiddich,55.25,33.0,Nutty / Woody,Medium,global
Bourbon 65,spirits/cocktails,Gordon's,56.0,34.0,Sweet,High,global
Rye Whiskey 66,spirits/cocktails,Tanqueray,56.75,35.0,Spicy,High,global
Gin 67,spirits/cocktails,Bacardi,57.5,36.0,Citrusy / Sour,Medium,global
Gin 68,spirits/cocktails,Patron,58.25,37.0,Herbal / Floral,High,global
Scotch 69,spirits/cocktails,Absolut,59.0,38.0,Smoky,High,global
Cognac 70,wine,Smirnoff,59.75,39.0,Rich / Fruity,Medium,global
Vodka 71,spirits/cocktails,Moet & Chandon,60.5,5.0,Dry / Crisp,High,global
Aged Bourbon 72,spirits/cocktails,La Marca,61.25,6.0,Nutty / Woody,High,global
Bourbon 73,spirits/cocktails,Barefoot,62.0,7.0,Sweet,Medium,global
Rye Whiskey 74,spirits/cocktails,Robert Mondavi,62.75,8.0,Spicy,High,global
Gin 75,spirits/cocktails,Kim Crawford,63.5,9.0,Citrusy / Sour,High,global
Gin 76,spirits/cocktails,Crown Royal,64.25,10.0,Herbal / Floral,Medium,global
Scotch 77,spirits/cocktails,Buffalo Trace,65.0,11.0,Smoky,High,global
Cognac 78,wine,Bulleit,65.75,12.0,Rich / Fruity,High,global
